Name	Version	Format	LastModified	Size	Nodes	Edges	ConnectedComponents	Singletons	MaxNodeDegree	MeanNodeDegree
ddanat	2020-04-13	JSON	2021-10-02 00:15:08+00:00	253417	159	355	(24, 1, 135)	22	21	4.47
ddpheno	2020-06-19	TSV	2021-10-02 00:15:20+00:00	38931	1157	1282	(110, 1, 1047)	108	64	2.22
ddpheno	2020-06-19	JSON	2021-10-02 00:15:21+00:00	1071090	1157	1282	(110, 1, 1047)	108	64	2.22
dideo	2021-06-11	TSV	2021-10-15 02:24:42+00:00	149403	993	1493	(118, 1, 871)	113	60	3.01
dideo	2021-06-11	JSON	2021-10-15 02:24:43+00:00	1393515	993	1493	(118, 1, 871)	113	60	3.01
doid	2021-10-12	TSV	2021-10-15 02:13:07+00:00	1537797	14786	25343	(2243, 1, 12542)	2240	4270	3.43
doid	2021-10-12	JSON	2021-10-15 02:13:05+00:00	20447659	14786	25343	(2243, 1, 12542)	2240	4270	3.43
doid	2021-10-01	TSV	2021-10-01 21:36:13+00:00	1497486	14767	24031	(2429, 1, 12337)	2426	4270	3.25
doid	2021-10-01	JSON	2021-10-01 21:36:12+00:00	19493271	14767	24031	(2429, 1, 12337)	2426	4270	3.25
dpo	2021-10-15	TSV	2021-10-22 14:28:47+00:00	34431	653	580	(203, 1, 435)	199	180	1.78
dpo	2021-10-15	JSON	2021-10-22 14:28:46+00:00	503950	653	580	(203, 1, 435)	199	180	1.78
dpo	2021-09-02	TSV	2021-10-02 00:15:30+00:00	20788	462	387	(205, 1, 244)	200	179	1.68
dpo	2021-09-02	JSON	2021-10-02 00:15:29+00:00	338402	462	387	(205, 1, 244)	200	179	1.68
dron	2021-10-20	TSV	2021-10-22 15:51:04+00:00	39738645	707688	1224860	(2282, 1, 701453)	2270	518584	3.46
dron	2021-10-20	JSON	2021-10-22 15:51:06+00:00	819366611	707688	1224860	(2282, 1, 701453)	2270	518584	3.46
dron	2021-08-12	TSV	2021-10-02 01:31:56+00:00	37356188	671513	1153552	(2283, 1, 665286)	2269	483463	3.44
dron	2021-08-12	JSON	2021-10-02 01:31:59+00:00	744049953	671513	1153552	(2283, 1, 665286)	2269	483463	3.44
duo	2021-02-23	TSV	2021-10-15 02:25:02+00:00	72757	487	825	(63, 1, 421)	59	52	3.39
duo	2021-02-23	JSON	2021-10-15 02:25:01+00:00	718713	487	825	(63, 1, 421)	59	52	3.39
ecao	2020-05-22	TSV	2021-10-02 01:32:19+00:00	63545	477	1805	(12, 1, 465)	10	119	7.57
ecao	2020-05-22	JSON	2021-10-02 01:32:20+00:00	1082121	477	1805	(12, 1, 465)	10	119	7.57
eco	2021-10-20	TSV	2021-10-22 15:51:55+00:00	167216	2035	3319	(76, 1, 1954)	72	641	3.26
eco	2021-10-20	JSON	2021-10-22 15:51:54+00:00	2994104	2035	3319	(76, 1, 1954)	72	641	3.26
eco	2021-10-01	TSV	2021-10-02 01:32:47+00:00	140043	2035	1971	(726, 1, 1304)	722	498	1.94
eco	2021-10-01	JSON	2021-10-02 01:32:46+00:00	2309844	2035	1971	(726, 1, 1304)	722	498	1.94
eco	2021-10-08	TSV	2021-10-08 18:29:06+00:00	140848	2035	1971	(726, 1, 1304)	722	498	1.94
eco	2021-10-08	JSON	2021-10-08 18:29:05+00:00	2309667	2035	1971	(726, 1, 1304)	722	498	1.94
ecocore	2021-02-17	TSV	2021-10-02 01:32:51+00:00	11049	234	192	(52, 1, 125)	37	14	1.64
ecocore	2021-02-17	JSON	2021-10-02 01:32:52+00:00	180064	234	192	(52, 1, 125)	37	14	1.64
ecto	2021-08-25	TSV	2021-10-02 01:33:11+00:00	73230	5042	45	(4997, 1, 3)	4954	2	0.02
ecto	2021-08-25	JSON	2021-10-02 01:33:12+00:00	1856232	5042	45	(4997, 1, 3)	4954	2	0.02
ehdaa2	2013-07-04	TSV	2021-10-25 20:56:15+00:00	367713	2763	12895	(34, 1, 2729)	32	1388	9.33
ehdaa2	2013-07-04	JSON	2021-10-25 20:56:14+00:00	7515759	2763	12895	(34, 1, 2729)	32	1388	9.33
emapa	2021-09-01	TSV	2021-10-02 01:35:03+00:00	703247	8763	23590	(28, 1, 8735)	26	2596	5.38
emapa	2021-09-01	JSON	2021-10-02 01:35:01+00:00	14278403	8763	23590	(28, 1, 8735)	26	2596	5.38
envo	2021-05-14	TSV	2021-10-22 15:52:54+00:00	512852	5149	7510	(679, 1, 4429)	665	629	2.92
envo	2021-05-14	JSON	2021-10-22 15:52:55+00:00	619226	5149	7510	(679, 1, 4429)	665	629	2.92
ero	release	TSV	2021-10-02 09:32:26+00:00	412220	4376	8914	(82, 1, 4279)	77	1174	4.07
ero	release	JSON	2021-10-02 09:32:25+00:00	5520818	4376	8914	(82, 1, 4279)	77	1174	4.07
ero	release	TSV	2021-10-02 09:32:26+00:00	412220	4376	8914	(82, 1, 4279)	77	1174	4.07
ero	release	JSON	2021-10-02 09:32:25+00:00	5520818	4376	8914	(82, 1, 4279)	77	1174	4.07
eupath	2021-09-09	TSV	2021-10-02 01:36:28+00:00	374557	4563	8734	(136, 1, 4419)	128	911	3.83
eupath	2021-09-09	JSON	2021-10-02 01:36:26+00:00	5155992	4563	8734	(136, 1, 4419)	128	911	3.83
exo	2.1	TSV	2021-10-02 01:36:36+00:00	13950	178	204	(26, 1, 152)	24	29	2.29
exo	2.1	JSON	2021-10-02 01:36:36+00:00	197285	178	204	(26, 1, 152)	24	29	2.29
fao	2020-05-07	TSV	2021-10-02 01:36:41+00:00	10481	144	154	(29, 1, 115)	27	12	2.14
fao	2020-05-07	JSON	2021-10-02 01:36:41+00:00	132789	144	154	(29, 1, 115)	27	12	2.14
fbbi	2020-11-06	TSV	2021-10-22 15:53:22+00:00	36554	838	983	(62, 1, 637)	57	108	2.34
fbbi	2020-11-06	JSON	2021-10-22 15:53:21+00:00	385598	838	983	(62, 1, 637)	57	108	2.34
fbbt	2021-10-14	TSV	2021-10-15 03:05:11+00:00	2598381	14776	52116	(324, 1, 14441)	322	6803	7.05
fbbt	2021-10-14	JSON	2021-10-15 03:05:12+00:00	37030691	14776	52116	(324, 1, 14441)	322	6803	7.05
fbbt	2021-09-01	TSV	2021-10-02 01:40:57+00:00	2166410	14352	39842	(1468, 1, 12858)	1455	6760	5.55
fbbt	2021-09-01	JSON	2021-10-02 01:40:57+00:00	29877955	14352	39842	(1468, 1, 12858)	1455	6760	5.55
fbcv	2021-10-18	TSV	2021-10-22 15:53:44+00:00	100343	1498	1556	(223, 1, 1249)	217	67	2.08
fbcv	2021-10-18	JSON	2021-10-22 15:53:45+00:00	1538888	1498	1556	(223, 1, 1249)	217	67	2.08
fbcv	2021-09-02	TSV	2021-10-02 01:41:14+00:00	94662	1497	1446	(279, 1, 1178)	271	67	1.93
fbcv	2021-09-02	JSON	2021-10-02 01:41:14+00:00	1396117	1497	1446	(279, 1, 1178)	271	67	1.93
fbdv	2021-10-13	TSV	2021-10-15 03:05:26+00:00	28514	261	660	(33, 1, 212)	29	101	5.06
fbdv	2021-10-13	JSON	2021-10-15 03:05:26+00:00	467255	261	660	(33, 1, 212)	29	101	5.06
fbdv	2021-09-01	TSV	2021-10-02 01:41:21+00:00	28502	265	656	(39, 1, 210)	35	101	4.95
fbdv	2021-09-01	JSON	2021-10-02 01:41:22+00:00	456502	265	656	(39, 1, 210)	35	101	4.95
fideo	NA	TSV								
fideo	NA	JSON								
fix	2020-04-13	TSV	2021-10-02 09:23:43+00:00	33595	1180	1683	(17, 1, 1163)	15	46	2.85
fix	2020-04-13	JSON	2021-10-02 09:23:42+00:00	1026511	1180	1683	(17, 1, 1163)	15	46	2.85
flopo	no_version	TSV	2021-10-22 16:00:50+00:00	3066456	55581	43154	(24989, 1, 7081)	2092	1355	1.55
flopo	no_version	JSON	2021-10-22 16:00:50+00:00	5647695	55581	43154	(24989, 1, 7081)	2092	1355	1.55
fma	2020-04-13	TSV	2021-10-02 01:51:31+00:00	4050251	78994	118554	(16, 1, 78542)	11	222	3.00
fma	2020-04-13	JSON	2021-10-02 01:51:29+00:00	79074910	78994	118554	(16, 1, 78542)	11	222	3.00
fobi	NA	TSV								
fobi	NA	JSON								
foodon	2021-09-15	TSV	2021-10-22 16:06:04+00:00	3731676	33228	74641	(347, 1, 32873)	341	19858	4.49
foodon	2021-09-15	JSON	2021-10-22 16:06:03+00:00	172580	33228	74641	(347, 1, 32873)	341	19858	4.49
fovt	2021-10-29	TSV	2021-11-01 10:07:34+00:00	26031	535	1180	(37, 1, 497)	34	316	4.41
fovt	2021-10-29	JSON	2021-11-01 10:07:35+00:00	654437	535	1180	(37, 1, 497)	34	316	4.41
fovt	2021-06-02	TSV	2021-10-02 01:51:40+00:00	5753	138	276	(21, 1, 117)	19	90	4.00
fovt	2021-06-02	JSON	2021-10-02 01:51:41+00:00	154537	138	276	(21, 1, 117)	19	90	4.00
fypo	2021-10-05	TSV	2021-10-22 16:10:01+00:00	1243475	15726	15830	(2113, 1, 13614)	2112	235	2.01
